2026-02-01 11.44.07 | User: naman | Action: LOGIN | IP: 127.0.0.1 | Details: Testing logger API
2026-02-01 11.46.34 | User: naman | Action: LOGIN | IP: 127.0.0.1 | Details: Testing logger API
2026-02-01 11.49.00 | User: naman | Action: LOGIN | IP: 127.0.0.1 | Details: Testing logger API
2026-02-01 11.50.15 | User: naman | Action: LOGIN | IP: 127.0.0.1 | Details: Testing logger API
2026-02-02 20.40.05 | User: naman | action : Logging |Action: admin | IP: 127.0.0.1 | Details: namn gova
2026-02-02 23:18:41 | User: evag | action : Logging |RoleType: Librarian | IP: 127.0.0.1 | Details: Eva George
2026-02-02 23:19:26 | User: frankw | action : Logging |RoleType: Admin | IP: 127.0.0.1 | Details: Frank Wilson
2026-02-03 11:38:13 | User: evag | action : Logging |RoleType: Librarian | IP: 127.0.0.1 | Details: Eva George
2026-02-03 11:39:24 | User: alicej | action : Logging |RoleType: Member | IP: 127.0.0.1 | Details: Alice Johnson
2026-02-03 11:42:16 | User: frankw | action : Logging |RoleType: Admin | IP: 127.0.0.1 | Details: Frank Wilson
2026-02-03 11:45:40 | User: frankw | action : Logging |RoleType: Admin | IP: 127.0.0.1 | Details: Frank Wilson
2026-02-05 08:27:23 | User: evag | action : Logging |RoleType: Librarian | IP: 127.0.0.1 | Details: Eva George
2026-02-05 09:17:54 | User: maybe | action : Logging |RoleType: Member | IP: 127.0.0.1 | Details: Mayur Gajanan Bedare
2026-02-05 09:19:58 | User: evag | action : Logging |RoleType: Librarian | IP: 127.0.0.1 | Details: Eva George
2026-02-05 09:20:45 | User: maybe | action : Logging |RoleType: Member | IP: 127.0.0.1 | Details: Mayur Gajanan Bedare
2026-02-05 09:22:52 | User: evag | action : Logging |RoleType: Librarian | IP: 127.0.0.1 | Details: Eva George
2026-02-05 09:23:30 | User: maybe | action : Logging |RoleType: Member | IP: 127.0.0.1 | Details: Mayur Gajanan Bedare
2026-02-05 09:39:16 | User: evag | action : Logging |RoleType: Librarian | IP: 127.0.0.1 | Details: Eva George
2026-02-05 09:39:22 | User: maybe | action : Logging |RoleType: Member | IP: 127.0.0.1 | Details: Mayur Gajanan Bedare
2026-02-05 09:47:09 | User: evag | action : Logging |RoleType: Librarian | IP: 127.0.0.1 | Details: Eva George
2026-02-05 09:47:48 | User: maybe | action : Logging |RoleType: Member | IP: 127.0.0.1 | Details: Mayur Gajanan Bedare
2026-02-05 09:57:41 | User: evag | action : Logging |RoleType: Librarian | IP: 127.0.0.1 | Details: Eva George
2026-02-05 10:00:29 | User: maybe | action : Logging |RoleType: Member | IP: 127.0.0.1 | Details: Mayur Gajanan Bedare
